player_id,player_name,team,rushing_yds,receptions,receiving_yds,fumbles,touchdowns
eb3c219d-6489-4f2f-a542-bdbf7423a325,Darrynton Evans,CHI,0,0,0,0,0
0deb1dc9-0945-470d-8352-220d26d03d7d,Craig Reynolds,DET,83,6,98,0,0
122e131c-b08c-4b10-901d-481a20aeffb8,Jamaal Williams,DET,332,5,30,0,6
cc4b5f58-a11c-4450-a1df-617ad88336e4,D'Andre Swift,DET,231,8,77,0,2
de456390-b27b-4146-87b9-0267f1ea8db4,Jermar Jefferson,DET,0,0,0,0,0
e6c3f896-0223-4fc2-be09-c959ea4a475c,Justin Jackson,DET,17,2,4,0,1
0f5abff3-bb58-43bc-a915-daa341bf3a67,Kylin Hill,GB,0,0,0,0,0
27dd5b6e-ea65-4622-a6b4-460fd144407c,Aaron Jones,GB,409,17,123,1,2
3fec8370-ca72-11ec-a83a-8732d3d5a7e3,Tyler Goodson,GB,0,0,0,0,0
e10bfeb8-ea01-47bc-bfa8-45f6dcbf71b3,AJ Dillon,GB,286,13,80,0,1
ef87e355-8e0c-40ed-a85d-bca4896d4f1e,Patrick Taylor,GB,0,0,0,0,0
482c1032-765a-48d3-b46e-b47a809dbee4,Kene Nwangwu,MIN,0,0,0,0,0
7b816ca0-c957-11ec-b1d2-d334745b4f4f,Bryant Koback,MIN,0,0,0,0,0
8960d61e-433b-41ea-a7ad-4e76be87b582,Dalvin Cook,MIN,450,12,80,1,4
a0833a94-60ce-4a3a-a32a-d067fe7b253d,Ty Chandler,MIN,0,0,0,0,0
ae4faec0-509d-4080-b5cb-d1a44d062858,Alexander Mattison,MIN,97,8,58,0,2
